lowercase_lemma,count,type,subtypes,DBpedia_URL,Wikipage,min_relevance,max_relevance,median_relevance,avg_relevance,stdev_relevance,sentiment_labels,min_sentiment_score,max_sentiment_score,median_sentiment_score,avg_sentiment_score,stdev_sentiment_score,min_emotion_sadness,max_emotion_sadness,median_emotion_sadness,avg_emotion_sadness,stdev_emotion_sadness,min_emotion_fear,max_emotion_fear,median_emotion_fear,avg_emotion_fear,stdev_emotion_fear,min_emotion_joy,max_emotion_joy,median_emotion_joy,avg_emotion_joy,stdev_emotion_joy,min_emotion_anger,max_emotion_anger,median_emotion_anger,avg_emotion_anger,stdev_emotion_anger,min_emotion_disgust,max_emotion_disgust,median_emotion_disgust,avg_emotion_disgust,stdev_emotion_disgust
023896090,1,['Location'],['City'],['NONE'],['NONE'],0.48520399999999997,0.48520399999999997,0.48520399999999997,0.48520399999999997,,['positive'],0.493039,0.493039,0.493039,0.493039,,0.081728,0.081728,0.081728,0.081728,,0.026056,0.026056,0.026056,0.026056,,0.4151220000000001,0.4151220000000001,0.4151220000000001,0.4151220000000001,,0.009373999999999999,0.009373999999999999,0.009373999999999999,0.009373999999999999,,0.035069,0.035069,0.035069,,
08983044621033320,1,['Location'],['City'],['NONE'],['NONE'],0.657916,0.657916,0.657916,0.657916,,['neutral'],0.0,0.0,0.0,0.0,,0.23047600000000001,0.23047600000000001,0.23047600000000001,0.23047600000000001,,0.112078,0.112078,0.112078,0.112078,,0.571687,0.571687,0.571687,0.571687,,0.022989,0.022989,0.022989,0.022989,,0.011345000000000001,0.011345000000000001,0.011345000000000001,,
12th saarc summit,1,['Organization'],['NONE'],['NONE'],['NONE'],0.333295,0.333295,0.333295,0.333295,,['neutral'],0.0,0.0,0.0,0.0,,0.298699,0.298699,0.298699,0.298699,,0.017184,0.017184,0.017184,0.017184,,0.09300800000000001,0.09300800000000001,0.09300800000000001,0.09300800000000001,,0.024961,0.024961,0.024961,0.024961,,0.068367,0.068367,0.068367,,
31st african union summit,1,['Organization'],['NONE'],['NONE'],['NONE'],0.39985,0.39985,0.39985,0.39985,,['neutral'],0.0,0.0,0.0,0.0,,0.374365,0.374365,0.374365,0.374365,,0.096915,0.096915,0.096915,0.096915,,0.41766099999999995,0.41766099999999995,0.41766099999999995,0.41766099999999995,,0.131159,0.131159,0.131159,0.131159,,0.05173,0.05173,0.05173,,
abby,1,['Person'],['NONE'],['NONE'],['NONE'],0.300672,0.300672,0.300672,0.300672,,['positive'],0.6626810000000001,0.6626810000000001,0.6626810000000001,0.6626810000000001,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
abc,3,['Company' 'Broadcaster'],"['Broadcast, FilmCompany, TVNetwork'
 'Organization, Broadcast, Company, TVNetwork, AwardNominee, AwardWinner, TelevisionStation'
 'NONE']","['http://dbpedia.org/resource/Australian_Broadcasting_Corporation'
 'http://dbpedia.org/resource/American_Broadcasting_Company' 'NONE']","['http://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation'
 'http://en.wikipedia.org/wiki/American_Broadcasting_Company' 'NONE']",0.32218600000000003,0.43781899999999996,0.350615,0.37020666666666663,0.06025464898523042,['neutral' 'negative'],-0.799977,0.0,-0.701489,-0.5004886666666667,0.43622431228936953,0.118221,0.344106,0.33485,0.2657256666666667,0.12782659504318078,0.036355,0.457071,0.062487,0.18530433333333332,0.23571924229755478,0.057366999999999994,0.7278180000000001,0.14786300000000002,0.311016,0.36378607986974987,0.060551,0.280111,0.10337,0.14801066666666668,0.11638831659721405,0.056941999999999986,0.339879,0.064295,,0.16127303640823945
abraham lincoln,1,['Person'],['NONE'],['NONE'],['NONE'],0.307631,0.307631,0.307631,0.307631,,['neutral'],0.0,0.0,0.0,0.0,,0.372492,0.372492,0.372492,0.372492,,0.013516,0.013516,0.013516,0.013516,,0.10207000000000001,0.10207000000000001,0.10207000000000001,0.10207000000000001,,0.501354,0.501354,0.501354,0.501354,,0.300426,0.300426,0.300426,,
adam dodds,1,['Person'],['NONE'],['NONE'],['NONE'],0.237002,0.237002,0.237002,0.237002,,['neutral'],0.0,0.0,0.0,0.0,,0.275008,0.275008,0.275008,0.275008,,0.178403,0.178403,0.178403,0.178403,,0.141254,0.141254,0.141254,0.141254,,0.454969,0.454969,0.454969,0.454969,,0.127849,0.127849,0.127849,,
adam smith,11,['Person'],['Philosopher'],['http://dbpedia.org/resource/Adam_Smith'],['http://en.wikipedia.org/wiki/Adam_Smith'],0.14955,0.785871,0.360716,0.38477845454545445,0.22102632234300224,['negative' 'neutral' 'positive'],-0.724583,0.7508130000000001,0.0,0.007292181818181814,0.43067785292717764,0.040395,0.618845,0.22226500000000002,0.2496036363636364,0.1546601029278545,0.0074540000000000006,0.14413199999999998,0.072438,0.07635299999999999,0.05484127648404986,0.030611000000000006,0.877935,0.45232799999999995,0.4338164545454545,0.25461167128015305,0.065926,0.28067600000000004,0.134644,0.1454039090909091,0.06099834724228936,0.02304,0.27925900000000003,0.069025,,0.09375190757671403
adrian,1,['Person'],['NONE'],['NONE'],['NONE'],0.6273310000000001,0.6273310000000001,0.6273310000000001,0.6273310000000001,,['positive'],0.644358,0.644358,0.644358,0.644358,,0.32103200000000004,0.32103200000000004,0.32103200000000004,0.32103200000000004,,0.20241900000000002,0.20241900000000002,0.20241900000000002,0.20241900000000002,,0.28291700000000003,0.28291700000000003,0.28291700000000003,0.28291700000000003,,0.22929899999999998,0.22929899999999998,0.22929899999999998,0.22929899999999998,,0.06682,0.06682,0.06682,,
